   0.00000    6.00000    0.00000   -0.00000   54.00000
   1.00000   -5.46678    2.47271  -22.25440  -49.20103
   2.00000    3.96190   -4.50592   40.55331   35.65710
   3.00000   -1.75283    5.73826  -51.64430  -15.77550
   4.00000   -0.76778   -5.95067   53.55606   -6.91004
   5.00000    3.15193    5.10542  -45.94879   28.36739
   6.00000   -4.97586   -3.35273   30.17461  -44.78273
   7.00000    5.91538    1.00413   -9.03721   53.23842
   8.00000   -5.80350    1.52294  -13.70646  -52.23153
   9.00000    4.66012   -3.77933   34.01395   41.94104
  10.00000   -2.68844    5.36398  -48.27582  -24.19598
